Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact
S00044,Vicki Whitaker,2013-10-16,Grade 1,542-861-3947
S00045,Melanie Martinez,2011-07-03,Grade 5,733-606-6480
S00046,Michael Pennington,2012-03-08,Grade 1,976-293-1631
S00047,deborah robinson,2012-07-19,Grade 1,644-521-8876
S00048,Jonathon Ortiz,2016-06-27,Grade 2,383-871-3344
S00049,david soto,2015-05-06,Grade 2,443-191-4523
S00050,Alex Evans,2006-10-05,Grade 2,207-917-1781
S00051,Jesse Hayes,2015-02-16,Grade 5,495-354-6355
S00052,Robert Fox,2009-02-16,Grade 4,412-948-8853
S00053,Brian Meyer,2010-08-25,Grade 4,731-573-4962
S00054,Thomas Morales,2017-09-30,Grade 2,901-568-5838
S00055,Susan Miller,2012-07-18,Grade 4,408-393-0853
S00056,Victoria Lewis,2006-08-25,Grade 3,unknown
S00057,Robert Foster,2012-07-02,Grade 5,973-727-2308
S00058,Steven Donovan,2017-06-06,Grade 5,741-653-0084
S00059,Kiara Meadows,2008-02-03,Grade 2,526-873-3321
S00060,Shawn Carroll,2007-08-27,Grade 3,997-697-5318
S00061,kent davenport,2012-08-05,Grade 4,974-818-4092
S00062,Jason Clark,2018-07-22,Grade 3,unknown
S00063,jason marquez,2016-08-01,Grade 2,672-207-7384
S00064,Danielle Curtis,2012-04-12,Grade 3,207-465-3513
S00065,Laura Stanley,2015-12-13,Grade 2,840-935-3883
S00066,Wyatt Nelson,2010-01-10,Grade 5,962-179-2337
S00067,Philip Hill,2015-02-02,Grade 1,589-850-4502
S00068,Robert Clark,2017-09-09,Grade 3,646-995-0750
S00069,william ford,2011-03-11,Grade 5,414-699-6297
S00070,Martin Bennett MD,2010-02-01,Grade 1,447-214-4052
S00071,Madison Ellis,2012-06-16,Grade 4,929-669-3154
S00072,Dean Cook,2014-11-04,Grade 4,758-844-1898
S00073,Christopher Salinas,2011-01-04,Grade 5,313-192-5182
S00074,Mr. Mark Erickson,2017-03-14,Grade 4,226-443-4860
S00075,Jasmine Allen,2017-10-12,Grade 1,201-830-2268
S00076,robert martin,2013-06-28,Grade 1,583-732-3507
S00077,Amanda Perry,2009-03-22,Grade 2,661-265-1096
S00078,Brian Sims,2012-02-11,Grade 3,645-569-2056
S00079,Krista Martinez,2008-05-03,Grade 2,320-866-5169
S00080,Aaron Baldwin,2013-04-26,Grade 4,805-939-0145
S00081,John Underwood,2013-05-01,Grade 1,547-943-4476
S00082,Shawn Martin,2016-10-12,Grade 4,612-346-7222
S00083,Michael Harrison,2017-07-21,Grade 3,346-755-6883
S00084,wanda eaton,2012-09-14,Grade 4,399-992-9113
S00085,Taylor Juarez,2018-06-07,Grade 2,917-451-6613
S00086,Michael Lee,2010-03-24,Grade 3,831-610-5317
S00087,Beth Mendoza,2012-01-18,Grade 3,887-394-4200
S00088,Michele James,2014-08-08,Grade 5,077-825-9469
S00089,Noah Dougherty,2006-06-02,Grade 5,255-354-9677
S00090,David Downs,2011-11-26,Grade 2,922-813-4880
S00091,Mary Williams,2014-10-19,Grade 3,600-220-9569
S00092,Jason Parker,2011-02-15,Grade 3,563-573-0168
S00093,robert stewart,2009-06-30,Grade 1,789-761-6158
S00094,paul ortega,2013-02-15,Grade 2,999-431-7914
S00095,George Williams,2008-09-01,Grade 2,998-240-5936
S00096,Dawn Hall,2007-05-21,Grade 4,795-792-4545
S00097,Tyler Schroeder,2009-03-25,Grade 5,180-124-8970
S00098,Courtney Taylor,2006-06-03,Grade 3,779-322-3424
S00099,Jason George,2011-06-04,Grade 2,unknown
S00100,Anthony Villarreal,2016-04-12,Grade 3,173-478-6764
S00101,William Mitchell,2008-11-06,Grade 5,371-313-7550
S00102,Stacey Ramos,2011-06-11,Grade 4,764-975-1451
S00103,Jacqueline Richard,2010-10-19,Grade 5,744-926-8903
S00104,Allison Flores,2014-10-06,Grade 3,756-829-8027
S00105,John Singleton,2008-07-21,Grade 3,559-603-6410
S00106,Matthew Chandler,2006-12-29,Grade 1,779-498-1573
S00107,Brian Ferguson,2017-01-13,Grade 3,133-096-8675
S00108,James Orozco,2012-10-08,Grade 5,796-874-1712
S00109,Sandy Lee,2017-09-28,Grade 1,608-098-0749
S00110,Scott Perez,2007-04-19,Grade 5,883-041-1021
S00111,Dylan Jones,2009-10-01,Grade 1,813-751-1036
S00112,Barbara Taylor,2015-10-26,Grade 5,unknown
S00113,Brandon Garcia,2006-08-15,Grade 2,345-307-4598
S00114,Kathryn Wilson,2009-08-02,Grade 2,302-366-6634
S00115,Brian Lowe,2007-10-29,Grade 3,137-492-9075
S00116,Julie Schneider,2016-07-12,Grade 1,625-450-0857
S00117,Julie Bush,2014-07-26,Grade 5,742-436-6185
S00118,Ellen Carter,2016-05-31,Grade 3,836-797-2128
S00119,Kimberly Ryan,2007-02-20,Grade 1,unknown
S00120,Paul Ramos,2018-09-25,Grade 1,508-972-4586
S00121,Benjamin Martin,2012-03-27,Grade 4,676-297-1013
S00122,kristine johnston,2014-01-02,Grade 4,896-767-5900
S00123,Elizabeth Morales,2018-03-18,Grade 2,073-322-9791
S00124,Glenn Alexander,2015-10-31,Grade 5,465-768-5902
S00125,Charles Guerrero,2017-04-25,Grade 5,866-688-9369
S00126,Jeremy Rhodes,2011-03-05,Grade 3,716-750-8815
S00127,Denise Evans,2010-06-23,Grade 3,649-801-9380
S00128,Dr. Jamie Stewart,2007-04-14,Grade 3,263-533-5178
S00129,Anthony White,2017-01-30,Grade 2,774-490-1258
S00130,Eduardo Miranda,2012-06-30,Grade 1,854-012-9299
S00131,Gregory Schroeder,2013-04-05,Grade 3,unknown
S00132,Jeremiah Frank,2015-11-30,Grade 1,350-594-4155
S00133,Kathy Jordan,2016-06-09,Grade 4,656-945-6002
S00134,Brett Knight,2018-06-20,Grade 4,972-273-5638
S00135,Traci Johnson,2007-07-28,Grade 1,656-293-9872
S00136,Mr. John Salas,2016-04-18,Grade 2,203-226-8281
S00137,Cory Garcia,2011-09-12,Grade 4,967-637-9410
S00138,michael mccall,2017-07-17,Grade 2,653-629-8453
S00139,Jeffrey Pace,2014-04-17,Grade 5,854-241-8982
S00140,Joshua Smith,2007-06-01,Grade 3,649-216-3714
S00141,mary mccullough dds,2006-06-19,Grade 5,752-581-6998
S00142,Brian Phillips,2009-10-04,Grade 5,617-223-9991
S00143,cynthia macdonald,2008-06-12,Grade 3,246-951-5443
S00144,Dylan Riddle,2016-05-16,Grade 5,383-285-2122
S00145,Bonnie Mitchell,2017-05-12,Grade 3,387-490-6820
S00146,Kaylee Stewart,2009-05-10,Grade 1,946-328-5062
S00147,Kimberly Williams,2009-01-11,Grade 2,656-774-7324
S00148,travis moreno,2015-05-13,Grade 5,397-073-7227
S00149,Nicholas Pope,2015-08-06,Grade 3,831-807-6360
S00150,William Griffin,2015-06-09,Grade 5,unknown
S00151,Kenneth Mccormick,2018-05-26,Grade 1,597-655-5393
S00152,Hannah Baker,2017-12-30,Grade 5,821-722-4296
S00153,Megan Noble,2014-07-06,Grade 2,961-725-0580
S00154,Chris Robles,2012-06-13,Grade 4,237-559-7080
S00155,Sean Baker,2006-06-04,Grade 3,416-968-4743
S00156,Joy Wilkins,2010-01-03,Grade 4,526-468-0151
S00157,Derrick Hall,2011-12-14,Grade 3,310-810-9893
S00158,jordan compton,2017-08-18,Grade 3,116-217-4175
S00159,Erika Johnson,2013-03-19,Grade 1,959-683-5469
S00160,Robert Gibson,2017-02-22,Grade 5,933-503-5929
S00161,Jill Valdez,2014-12-07,Grade 2,727-881-0527
S00162,Robert Baxter,2017-10-11,Grade 3,830-859-4551
S00163,Ryan Gordon,2007-09-01,Grade 1,773-740-2829
S00164,Angela Gregory,2012-01-06,Grade 2,789-593-0460
S00165,Christina Parker,2008-04-11,Grade 4,332-380-6614
S00166,Melissa Williams,2011-11-22,Grade 5,053-238-7878
S00167,Mrs. Jody Campbell,2016-08-17,Grade 5,784-442-3112
S00168,Abigail Ochoa,2018-10-25,Grade 1,418-210-4368
S00169,Susan Lloyd,2015-05-08,Grade 3,734-779-5645
S00170,Krista Stewart,2014-03-16,Grade 5,984-552-9533
S00171,James Davila,2017-10-29,Grade 2,899-712-0262
S00172,Julia Barnes,2008-09-07,Grade 2,455-293-8238
S00173,Gregory Santos,2013-08-20,Grade 3,669-814-8705
S00174,Michael Smith,2015-12-24,Grade 2,681-424-0282
S00175,Cynthia Torres MD,2007-03-31,Grade 4,800-949-7526
S00176,Tyler Adams,2010-10-29,Grade 3,347-289-3502
S00177,rachel morgan,2008-02-15,Grade 1,270-747-7816
S00178,Jessica Roberson,2013-08-02,Grade 1,683-716-8947
S00179,Christopher Carter,2018-09-03,Grade 3,510-575-9055
S00180,Carla Allen,2016-07-19,Grade 5,905-762-2563
S00181,Gregory Davis,2014-05-13,Grade 4,803-615-3296
S00182,Jimmy Mcintosh,2012-10-28,Grade 1,633-734-7300
S00183,John Tyler,2018-12-01,Grade 2,396-996-8990
S00184,Mathew Thomas,2015-05-29,Grade 5,546-917-5688
S00185,Roy Booth,2012-07-16,Grade 2,899-676-5480
S00186,Holly Moore,2012-01-04,Grade 5,803-296-7478
S00187,John Williams,2018-07-17,Grade 4,828-813-7149
S00188,Jeffrey Barnes,2007-10-24,Grade 2,609-376-3464
S00189,Morgan Diaz,2018-03-02,Grade 2,520-367-1169
S00190,Daniel Baxter,2011-12-04,Grade 5,439-111-1140
S00191,Samantha Jackson,2018-07-30,Grade 2,790-429-5919
S00192,Christy Frazier,2011-12-19,Grade 2,331-045-6607
S00193,Molly Davis,2014-08-05,Grade 4,512-477-7785
S00194,barbara frederick,2018-05-22,Grade 4,429-995-1816
S00195,Rita Sosa,2017-01-05,Grade 4,332-126-1085
S00196,Anna Good,2011-12-07,Grade 3,679-646-8286
S00197,John Mclaughlin,2014-05-25,Grade 2,324-721-0828
S00198,Haley Young,2013-04-23,Grade 5,815-332-9368
S00199,Renee Hunt,2012-10-06,Grade 3,199-144-5443
S00200,Daniel Stewart,2012-02-17,Grade 4,662-294-5737
S00201,Thomas Pugh,2013-02-16,Grade 5,191-497-5267
S00202,Laura Smith,2007-04-28,Grade 5,645-566-2214
S00203,Andrew Shepard,2012-01-07,Grade 1,950-757-7641
S00204,April Mann,2006-09-18,Grade 4,833-308-5876
S00205,Danielle Carter,2010-04-23,Grade 3,366-033-0826
S00206,suzanne gilbert,2007-07-28,Grade 1,978-092-2211
S00207,Samantha Phillips,2018-06-23,Grade 5,264-911-5307
S00208,Troy Dudley,2014-02-02,Grade 4,749-282-3815
S00209,Daniel Bennett,2010-04-17,Grade 4,721-981-9285
S00210,Brenda Butler,2011-07-25,Grade 4,717-577-9540
S00211,Jessica West,2013-07-11,Grade 5,970-073-2346
S00212,Kristin Drake,2008-10-22,Grade 1,unknown
S00213,William Patterson,2014-08-13,Grade 5,649-445-1660
S00214,Allison Cruz,2016-01-01,Grade 2,805-208-5816
S00215,Marie Carter,2015-09-16,Grade 2,486-863-9877
S00216,Stephen Vaughn,2017-10-25,Grade 3,634-611-8929
S00217,Donna Taylor,2015-09-22,Grade 4,878-509-8401
S00218,Lisa Cooley,2015-12-02,Grade 1,272-535-1555
S00219,Jonathan Ward,2014-01-01,Grade 1,505-528-3749
S00220,Wanda Sanchez,2007-08-31,Grade 1,697-556-5445
S00221,christopher maynard,2016-08-22,Grade 3,637-607-1193
S00222,Juan Richard,2017-04-18,Grade 3,810-839-3427
S00223,bob mccall,2015-06-30,Grade 1,728-057-1045
S00224,Jennifer Malone,2011-10-20,Grade 3,355-458-2012
S00225,Dennis Ibarra,2009-09-14,Grade 3,570-410-7520
S00226,Jessica Garcia,2007-08-30,Grade 4,363-549-7552
S00227,Nicholas Wright,2008-04-16,Grade 3,006-490-2718
S00228,Glenn Ashley,2017-06-23,Grade 3,450-839-3632
S00229,Debbie Cooper,2015-07-26,Grade 3,200-217-3660
S00230,Christopher Haynes,2011-05-19,Grade 1,828-832-0003
S00231,Lisa Cross,2014-02-15,Grade 1,717-767-0860
S00232,Clayton Luna,2007-01-26,Grade 4,247-681-1966
S00233,Stephanie Murphy,2012-07-16,Grade 5,266-629-4777
S00234,Ronald Wood,2018-04-10,Grade 3,333-546-0697
S00235,Christine Dorsey,2009-10-03,Grade 3,782-236-5011
S00236,Anne Waters,2006-04-07,Grade 2,416-816-9511
S00237,Robert Williams,2018-03-09,Grade 1,364-241-3213
S00238,Jason Fox,2013-04-02,Grade 4,448-664-9894
S00239,Sean Lane,2010-11-22,Grade 3,865-285-7931
S00240,Eric Baxter,2018-06-17,Grade 3,484-811-0130
S00241,Maria Allen,2009-01-27,Grade 2,453-440-8320
S00242,Sean Brooks,2018-08-02,Grade 4,557-289-8325
S00243,Michael Shepard,2009-11-02,Grade 1,673-502-6368
S00244,Taylor Davis,2007-04-05,Grade 4,145-443-8746
S00245,William Norton,2009-03-14,Grade 5,221-352-0283
S00246,Jeffery Smith,2015-02-07,Grade 4,308-599-9177
S00247,Brittany Mccarthy,2007-07-15,Grade 4,891-914-3142
S00248,Susan Turner,2014-04-05,Grade 2,507-698-0479
S00249,Steven Smith,2010-05-20,Grade 2,241-547-8604
S00250,William Logan,2007-10-14,Grade 5,682-565-9884
S00251,Amy Simon,2014-09-27,Grade 2,234-481-0848
S00252,Michelle Murphy,2012-07-07,Grade 5,527-519-2734
S00253,Clifford Bentley,2016-11-27,Grade 2,960-463-5857
S00254,Daniel Bender,2010-05-16,Grade 4,615-852-8916
S00255,Spencer Wilson,2017-01-01,Grade 1,459-214-7454
S00256,Belinda Holt,2006-09-11,Grade 2,230-522-1382
S00257,Ralph Kelly,2016-12-09,Grade 1,696-272-4744
S00258,Michael Levine,2017-03-01,Grade 4,307-307-0939
S00259,Ashley Nicholson,2009-06-06,Grade 3,739-959-0159
S00260,Caitlyn Davis,2011-07-16,Grade 4,679-917-3565
S00261,Kevin Smith,2017-03-30,Grade 1,969-500-0112
S00262,Kyle Luna,2012-12-01,Grade 3,339-313-4903
S00263,dawn hodge,2008-08-26,Grade 5,360-198-5442
S00264,Antonio Chung,2009-07-09,Grade 2,756-484-0271
S00265,tracy chandler,2008-08-11,Grade 3,854-042-9392
S00266,Kimberly Mercer,2019-02-04,Grade 3,516-359-0200
S00267,laura mcdonald,2006-09-10,Grade 3,960-556-1523
S00268,Shawn Owens,2014-02-11,Grade 1,442-024-1658
S00269,Michael Flores,2013-03-15,Grade 2,unknown
S00270,Katherine Gill,2010-05-07,Grade 2,343-584-8378
S00271,Todd Anderson,2010-10-21,Grade 1,981-989-7647
S00272,Nicholas Boone,2013-03-03,Grade 3,556-766-3579
S00273,Natalie Burke,2014-09-07,Grade 1,666-687-4187
S00274,William Wilkerson,2013-02-04,Grade 3,unknown
S00275,Christopher Turner,2013-06-12,Grade 2,412-899-0924
S00276,Megan Flores,2018-12-25,Grade 3,150-354-9210
S00277,Cheryl Mason,2016-04-21,Grade 4,744-605-2373
S00278,Matthew Mejia,2014-05-03,Grade 5,808-842-4487
S00279,Mr. Michael Stewart,2008-06-14,Grade 3,645-995-4183
S00280,Christopher Lopez,2011-09-07,Grade 4,755-938-1699
S00281,Kimberly Woods,2018-02-19,Grade 1,857-661-3591
S00282,James Fuller,2016-08-29,Grade 3,351-450-3724
S00283,Keith Booker,2011-09-27,Grade 5,462-559-6562
S00284,Cheryl Green,2009-06-26,Grade 4,662-186-4297
S00285,Chad Wood,2012-04-10,Grade 5,993-249-9121
S00286,Martha Perez,2007-08-19,Grade 3,974-699-7295
S00287,Michael Price,2006-11-18,Grade 3,266-863-7574
S00288,Gary Hudson,2006-11-21,Grade 4,708-628-5226
S00289,Timothy Hall,2008-07-01,Grade 3,264-771-4878
S00290,James Camacho,2007-11-14,Grade 5,893-560-7862
S00291,Victoria Tucker,2013-06-27,Grade 4,830-922-5170
S00292,danny johnson,2016-03-27,Grade 3,610-645-4882
S00293,Denise Ramsey,2012-11-15,Grade 3,unknown
S00294,Michelle Barker,2016-07-07,Grade 5,314-557-2806
S00295,Kyle Lynch,2012-11-15,Grade 4,631-694-1220
S00296,tracey murphy,2014-02-20,Grade 2,331-784-5984
S00297,Jeremy Ferguson,2014-06-21,Grade 4,726-584-0960
S00298,Jeffery Gilmore,2017-03-20,Grade 3,325-581-3080
S00299,Laura Smith,2011-01-16,Grade 1,148-615-2246
S00300,Ms. Karen Thomas MD,2007-06-13,Grade 2,760-286-9971
S00301,Vanessa Anderson,2014-07-13,Grade 3,231-521-4109
S00302,Dr. Valerie Black,2016-01-17,Grade 1,unknown
S00303,Abigail Price,2006-11-01,Grade 2,116-610-0937
S00304,Scott Fleming,2013-04-14,Grade 1,773-390-5982
S00305,Victoria Chambers,2006-07-11,Grade 5,630-432-4098
S00306,Matthew Butler,2008-01-24,Grade 2,845-135-1242
S00307,Christine Daniel,2014-10-22,Grade 1,694-249-3882
S00308,Grace Hardy,2007-06-18,Grade 2,679-574-7854
S00309,Emma Thompson,2009-07-20,Grade 3,229-280-9049
S00310,christopher henry,2016-02-06,Grade 2,160-664-9207
S00311,Alexandra King,2010-08-04,Grade 4,541-861-6241
S00312,Henry Rhodes,2015-12-09,Grade 2,400-865-3305
S00313,Angela Davis,2012-04-27,Grade 2,420-144-4063
S00314,Shane Olson,2018-07-30,Grade 3,374-190-8246
S00315,martin buck,2017-09-07,Grade 1,277-293-3880
S00316,Taylor Ferguson,2017-07-30,Grade 5,192-666-3133
S00317,Kelsey Jones,2018-04-02,Grade 1,471-500-9643
S00318,Matthew Bass,2006-09-26,Grade 5,572-695-5618
S00319,Katherine Woods,2014-12-05,Grade 5,419-328-3771
S00320,Tony Hill,2014-01-01,Grade 3,750-541-2486
S00321,Gina Thomas,2013-08-15,Grade 4,unknown
S00322,bryan johnson,2013-11-18,Grade 5,348-973-7069
S00323,kathleen ewing,2007-07-29,Grade 1,324-797-8369
S00324,brandon ewing,2012-05-17,Grade 4,387-955-8518
S00325,Robert Lopez,2012-01-04,Grade 1,709-455-8444
S00326,Adrian Smith,2014-02-09,Grade 3,unknown
S00327,john james,2007-05-23,Grade 4,382-292-7448
S00328,Janice Carter,2013-12-15,Grade 3,374-813-1643
S00329,Mary Mendez,2015-02-04,Grade 5,881-380-4666
S00330,Christopher Anderson,2013-05-24,Grade 4,259-975-8518
S00331,Andre Bruce,2015-10-06,Grade 4,804-584-5885
S00332,Cynthia Hayden,2016-05-06,Grade 3,814-730-5776
S00333,Debra Zhang,2018-02-18,Grade 2,920-714-9046
S00334,Jacob Thomas,2018-07-17,Grade 3,unknown
S00335,Jessica Kim,2018-03-01,Grade 4,443-313-0822
S00336,Kristin Blake,2008-11-04,Grade 3,312-865-1923
S00337,Laura Ramirez,2007-03-04,Grade 1,456-206-4650
S00338,mark vega,2013-02-24,Grade 4,636-402-3798
S00339,Hannah Black,2015-04-25,Grade 5,175-275-1134
S00340,Daniel Santos Jr.,2016-03-22,Grade 3,272-854-3014
S00341,Brittany Gonzales,2017-03-18,Grade 5,383-774-2751
S00342,Roberto Lowe,2017-04-15,Grade 4,591-279-6050
S00343,Aaron Edwards,2010-05-30,Grade 1,910-894-6660
S00344,Nicholas Hickman,2012-12-31,Grade 3,404-267-2583
S00345,Ronald Sullivan,2009-12-06,Grade 1,425-209-0599
S00346,Todd Day,2018-05-12,Grade 2,720-886-8293
S00347,Debbie Brooks,2018-03-17,Grade 4,894-420-9684
S00348,Lauren Hansen,2009-11-01,Grade 4,971-980-9492
S00349,Elizabeth Mitchell,2007-03-18,Grade 2,687-280-4805
S00350,Vanessa Ryan,2009-05-03,Grade 5,265-416-8810
S00351,Charlene Henry,2008-08-09,Grade 3,948-198-8986
S00352,Laura Bailey,2010-11-25,Grade 1,391-497-3088
S00353,Mary Schneider,2014-11-25,Grade 3,207-284-7846
S00354,Shawna Johnson,2007-03-29,Grade 5,807-552-3135
S00355,Elizabeth Cruz,2007-06-08,Grade 5,165-821-6209
S00356,Christine Shaw,2014-07-19,Grade 5,234-772-5348
S00357,Melissa Mathis,2008-03-03,Grade 5,841-545-2341
S00358,Steven Jackson,2012-02-11,Grade 2,938-841-0686
S00359,Anna Lee,2015-02-19,Grade 1,899-306-8746
S00360,Zachary Nguyen,2011-11-10,Grade 4,321-708-2166
S00361,John Anderson,2019-02-12,Grade 1,unknown
S00362,Donald Taylor,2016-09-23,Grade 4,832-941-0727
S00363,Brian Henry,2013-01-02,Grade 3,948-732-0106
S00364,Dr. Brett Hall,2010-06-10,Grade 2,838-253-7204
S00365,Michael Glass,2008-11-25,Grade 3,377-703-5266
S00366,Karen Bowman,2009-11-23,Grade 2,361-714-5163
S00367,Sean Miller,2014-01-30,Grade 1,559-678-1773
S00368,Beth Hammond,2012-03-27,Grade 2,751-485-8130
S00369,Haley Fox,2017-01-19,Grade 2,741-948-8914
S00370,Christopher Knox,2017-03-06,Grade 1,730-387-4971
S00371,Kyle Smith,2015-11-13,Grade 1,093-608-6789
S00372,Laura Lopez,2013-07-16,Grade 4,680-492-7358
S00373,Lisa Gray,2013-09-09,Grade 4,535-578-9439
S00374,Jessica Price,2017-10-14,Grade 1,646-860-8453
S00375,George Hunter,2013-11-22,Grade 4,869-850-6842
S00376,Sheryl Lopez DDS,2016-12-31,Grade 5,829-522-7880
S00377,Christina King,2014-01-24,Grade 1,577-261-4710
S00378,William Baker,2016-10-20,Grade 1,022-549-3144
S00379,William White,2006-06-01,Grade 3,719-523-7917
S00380,jamie butler,2010-06-20,Grade 2,unknown
S00381,Dana Robinson,2013-07-04,Grade 1,816-994-5776
S00382,David Cline,2019-01-13,Grade 1,unknown
S00383,Kristi Allen,2014-10-09,Grade 1,499-723-4728
S00384,Melissa Moore,2009-06-06,Grade 4,589-931-1524
S00385,Alicia Gonzalez,2009-12-03,Grade 2,833-881-7312
S00386,Christopher Wallace,2013-02-18,Grade 1,583-167-3770
S00387,Christopher Neal,2008-09-18,Grade 1,308-609-6304
S00388,Grant Maddox,2011-12-22,Grade 2,476-114-6410
S00389,Cameron Gibson,2018-06-19,Grade 1,288-463-0396
S00390,Kimberly Young,2018-09-09,Grade 2,044-954-2565
S00391,Shelly Garner,2009-10-14,Grade 4,855-932-8873
S00392,Amanda Wood,2009-07-03,Grade 2,078-560-4498
S00393,Stacey Gutierrez,2012-12-21,Grade 3,unknown
S00394,Steven Barnes,2009-12-23,Grade 4,792-374-9105
S00395,Deborah Russo,2014-08-30,Grade 3,474-313-8638
S00396,Jeremy Li,2015-05-16,Grade 1,558-338-0462
S00397,mario pena,2013-09-19,Grade 2,898-064-3305
S00398,brian little,2018-02-04,Grade 3,813-766-5266
S00399,Jennifer Johnson,2012-05-27,Grade 1,317-701-4109
S00400,Ashley Olsen,2008-03-15,Grade 1,443-786-1955
S00401,Justin Vang,2007-10-27,Grade 3,297-540-6925
S00402,Brian Johnston,2013-06-04,Grade 4,782-310-1431
S00403,Clinton Moss,2009-01-31,Grade 1,930-177-4504
S00404,Stacie Jordan,2010-03-15,Grade 5,310-299-2602
S00405,Kyle Silva,2007-02-19,Grade 2,956-512-1006
S00406,gregory smith,2015-09-25,Grade 5,363-517-4301
S00407,Samantha Martin,2011-04-05,Grade 1,228-842-3513
S00408,Kathleen Singh,2014-02-08,Grade 2,596-930-7478
S00409,Sarah Mendoza,2017-06-11,Grade 5,209-989-0417
S00410,Tracy Hernandez,2017-06-05,Grade 4,752-183-3233
S00411,John Ochoa,2014-02-14,Grade 5,unknown
S00412,Jean Baker,2017-10-13,Grade 5,277-240-8437
S00413,Susan Schroeder,2013-08-25,Grade 3,726-947-1021
S00414,Denise Johnson,2013-02-17,Grade 5,366-876-5045
S00415,Danielle Williams,2008-03-03,Grade 4,388-205-3122
S00416,Dillon Braun,2013-07-10,Grade 1,664-567-9106
S00417,Nathan Bowen,2012-02-09,Grade 1,762-575-9773
S00418,Charles Odonnell,2008-02-29,Grade 4,unknown
S00419,Ricky Roberts,2015-03-10,Grade 4,478-941-9543
S00420,Amber Ross,2007-06-19,Grade 5,880-454-2181
S00421,kendra perkins,2009-11-07,Grade 1,600-465-2904
S00422,Autumn Dorsey,2010-06-23,Grade 2,570-554-2403
S00423,Logan Mckinney,2013-03-31,Grade 3,718-954-8983
S00424,Nicholas Adkins,2018-12-23,Grade 2,348-371-7337
S00425,Cody Cantrell,2018-11-18,Grade 5,610-242-5658
S00426,Mary Moon,2018-10-05,Grade 2,741-223-1727
S00427,William Brooks,2006-03-21,Grade 3,945-432-6662
S00428,Jeremiah Morgan,2006-08-03,Grade 1,605-687-8458
S00429,Meghan Prince,2006-05-15,Grade 3,316-250-2606
S00430,Cole Solis,2007-05-08,Grade 5,977-481-5172
S00431,Jodi Jones,2017-07-17,Grade 2,222-035-2658
S00432,nicholas house,2015-10-10,Grade 4,461-434-7483
S00433,Donald Thompson,2013-04-09,Grade 2,640-291-9545
S00434,Leslie Moody,2012-12-15,Grade 4,744-035-0362
S00435,Paul Holloway,2008-09-26,Grade 1,453-798-9650
